"Nombre","Volumen","Unidad de medida","Referencia interna","D365 Reference","Box Qty","Pronosticado con pendiente"
"Aplique interior vintage negro campana","0.017595","Unidades","ET1LDC0047","GAII-VICA","1.0","0.0"
"Aplique interior vintage negro cono","0.016675","Unidades","ET1LDC0046","GAII-VINC","1.0","0.0"
"Aplique interior vintage pantalla blanca","0.017595","Unidades","ET1LDC0045","GAII-VIPB","1.0","0.0"
"Aplique interior vintage vidrio","0.017595","Unidades","ET1LDC0048","GAII-VIVI","1.0","89.0"
"Arco fútbol de PVC de 182 cm (x2u)","0.08459125","Unidades","ME1FTB0003","EAFI-P18C","2.0","22.0"
"Arco fútbol de acero de 120 cm (x4u)","0.07488","Unidades","ME1FTB0002","EAFI-A12C","4.0","12.0"
"Arco fútbol de acero de 90 cm (x5u)","0.056392","Unidades","ME1FTB0001","EAFI-A90C","5.0","22.0"
"Arnés con correa talle L surtido colores CACT-TLRC (x50u)","0.035224","Unidades","VN1ARN0013","CACT-TLRC","50.0","4.0"
"Arnés con correa talle L surtido colores MACPLGC (x50u)","0.032256","Unidades","VN1ARN0010","MACPLGC","50.0","0.0"
"Arnés con correa talle M surtido colores CACT-TMRC (x74u)","0.034371","Unidades","VN1APM0026","CACT-TMRC","74.0","6.0"
"Arnés con correa talle S surtido colores CACT-TSRC (x100u)","0.034188","Unidades","VN1ARN0012","CACT-TSRC","100.0","4.0"
"Arnés con correa talle S surtido colores MACPSGC (x100u)","0.032256","Unidades","VN1ARN0008","MACPSGC","100.0","1.0"
"Arnés con correa talle XL surtido colores CACT-XLRC (x24u)","0.034188","Unidades","VN1ARN0014","CACT-XLRC","24.0","2.0"
"Arnés doble con soporte lumbar para desmalezadora (x20u)","0.09","Unidades","KU1ARN0002","DARI-SLAD","20.0","0.0"
"Arnés doble para desmalezadora (x40u)","0.09","Unidades","KU1ARN0001","DARI-ADMQ","40.0","0.0"
"Arnés para perro talle L surtido colores CAPT-TLRC (x50u)","0.050112","Unidades","VN1ARN0016","CAPT-TLRC","50.0","3.0"
"Arnés para perro talle M surtido colores CAPT-TMRC (x60u)","0.050112","Unidades","VN1ARN0015","CAPT-TMRC","60.0","2.0"
"Arnés para perro talle XL surtido colores CAPT-XLRC (x40u)","0.050112","Unidades","VN1ARN0017","CAPT-XLRC","40.0","4.0"
"Aro de básquet con red N° 7 (x6u)","0.179655","Unidades","ME1BQT0001","EABI-CRN7","6.0","10.0"
"Artefacto para tubo de led T8 18 W (x30u)","0.0241425","Unidades","ET1LAM0070","ATUB18E","30.0","0.0"
"Artefacto para tubo de led T8 9 W (x30u)","0.01251","Unidades","ET1LAM0069","ATUB09E","30.0","0.0"
"Asadera de hierro esmaltado azul 30 cm (x4u)","0.031213875","Unidades","VN1RCC0015","CCN062","4.0","0.0"
"Asadera de hierro esmaltado azul 33 cm (x4u)","0.02983365","Unidades","VN1RCC0021","CHFI-AZ33","4.0","0.0"
"Asadera de hierro esmaltado rojo 30 cm (x4u)","0.03161925","Unidades","VN1RCC0014","CCN061","4.0","0.0"
"Asadera de hierro esmaltado rojo 33 cm (x4u)","0.0366996","Unidades","VN1RCC0020","CHFI-AR33","4.0","0.0"
"Aserradora de concreto BUQ12","0.323","Unidades","BR1ASR0003","BUQ12","1.0","0.0"
"Aserradora de concreto BUQ14L","0.46827","Unidades","BR1ASR0006","BUQ14L","1.0","0.0"
"Aserradora de concreto BUQ18-H","0.5809","Unidades","BR1ASR0009","BUQ18-H","1.0","1.0"
"Aserradora de concreto KUQ18","0.580944","Unidades","BR1ASR0005","KUQ18","1.0","1.0"
"Asiento de bicicleta MTB-ASI002 (x30u)","0.08385975","Unidades","KT1APB0002","ASI002","30.0","0.0"
"Asiento de bicicleta MTB-RABI-R01G (x30u)","0.06496","Unidades","KT1APB0009","RABI-R01G","30.0","7.0"
"Asiento de bicicleta urbano-ASI003 (x20u)","0.089376","Unidades","KT1APB0003","ASI003","20.0","0.0"
"Asiento de inodoro universal (x12u)","0.06536","Unidades","BP1ACS","50100","12.0","0.0"
"Asiento inodoro HDF línea Duero herrajes metálicos (x4u)","0.049","Unidades","GA1ACS0034","AMHMP01","4.0","1.0"
"Asiento inodoro HDF línea Duero herrajes plásticos (x4u)","0.05457","Unidades","GA1ACS0038","AMHPP01","4.0","0.0"
"Asiento inodoro HDF línea Ebro herrajes metálicos (x4u)","0.042275","Unidades","GA1ACS0089","AMHMA01","4.0","0.0"
"Asiento inodoro HDF línea Ebro herrajes plásticos (x4u)","0.04465","Unidades","GA1ACS0032","AMHPA01","4.0","0.0"
"Asiento inodoro HDF línea Jucar herrajes metálicos (x4u)","0.043776","Unidades","GA1ACS0036","AMHMC01","4.0","0.0"
"Asiento inodoro HDF línea Jucar herrajes plásticos (x4u)","0.049049","Unidades","GA1ACS0040","AMHPC01","4.0","1.0"
"Asiento inodoro HDF línea Loira herrajes metálicos (x4u)","0.04329","Unidades","GA1ACS0035","AMHMM01","4.0","0.0"
"Asiento inodoro HDF línea Loira herrajes plásticos (x4u)","0.047175","Unidades","GA1ACS0039","AMHPM01","4.0","0.0"
"Asiento inodoro HDF línea Miño herrajes metálicos (x4u)","0.04","Unidades","GA1ACS0033","AMHMB01","4.0","0.0"
"Asiento inodoro HDF línea Miño herrajes plásticos (x4u)","0.045103","Unidades","GA1ACS0037","AMHPB01","4.0","0.0"
"Asiento inodoro HDF línea Raba herrajes metálicos (x4u)","0.04608","Unidades","GA1ACS00131","AMHMMA01","4.0","0.0"
"Asiento inodoro HDF línea Támesis herrajes metálicos (x4u)","0.042864","Unidades","GA1ACS00130","AMHMMU01","4.0","0.0"
"Asiento inodoro UF línea Ebro (x5u)","0.06162","Unidades","GA1IND0005","BAIB-EBUF","5.0","0.0"
"Asiento inodoro UF línea Miño (x5u)","0.07038","Unidades","GA1IND0006","BAIB-MIUF","5.0","0.0"
"Asiento inodoro UF línea Raba (x5u)","0.06868","Unidades","GA1IND0008","BAIB-RAUF","5.0","0.0"
"Asiento masajeador (x10u)","0.190791","Unidades","ET1MJR0002","AM-C801","10.0","0.0"
"Asiento porta herramientas DBTI-0001","0.035972","Unidades","KU1APH0001","DBTI-0001","1.0","312.0"
"Asiento porta herramientas DBTI-0002","0.0315","Unidades","KU1APH0002","DBTI-0002","1.0","5.0"
"Aspersor 8 funciones (x100u)","0.11628","Unidades","KU1ARG0013","A8F01","100.0","0.0"
"Aspersor de impulso con estaca (x48u)","0.07473375","Unidades","KU1ARG0006","AIP01","48.0","12.0"
"Aspersor de impulso metálico con estaca (x48u)","0.06","Unidades","KU1ARG0005","AIM01","48.0","0.0"
"Aspersor giratorio con ruedas (x60u)","0.0245025","Unidades","KU1ARG0014","AGP01","60.0","0.0"
"Aspiradora industrial 20 L","0.0579715","Unidades","BR1ASP0004","DAII-20LM","1.0","0.0"
"Aspiradora industrial 30 L","0.0730945","Unidades","BR1ASP0005","DAII-30LM","1.0","0.0"
"Aspiradora industrial 70 L","0.23276","Unidades","BR1ASP0006","DAII-70LM","1.0","0.0"
"Aspiradora lava tapizados 25 L","0.08","Unidades","BR1ASP0007","DLTI-LT25","1.0","51.0"
"Aspiradora multifunción 3 en 1 | 30 L","0.0889","Unidades","BR1ASP0009","CAII-030L","1.0","26.0"
"Aspiradora portátil 12 V (x20u)","0.095872","Unidades","KU1ASP0001","APK12V","20.0","15.0"
"Aspiradora portátil recargable USB (x20u)","0.116983","Unidades","KU1ASP0004","DAPI-00R1","20.0","0.0"
"Aspiradora robot A220 (x2u)","0.04425525","Unidades","VN1ASP0004","CARI-A220","2.0","71.0"
"Aspiradora robot Mopper G420 (x2u)","0.064206","Unidades","VN1ASP0005","CARI-G420","2.0","0.0"
"Atornillador eléctrico 3,6 V (x20u)","0.0375585","Unidades","MI1ATR0001","DAEI-B36V","20.0","0.0"
"Atornillador eléctrico para construcción en seco 500 W (x10u)","0.050008","Unidades","BR1ATR0003","ADW10A","10.0","0.0"
"Atornillador eléctrico para steel framing (x10u)","0.070125","Unidades","BR1ATR0011","ADW710JR","10.0","0.0"
"Auricular TWS Aló LEVEL Surtido de Color","1e-06","Unidades","AO1AUR0002","7425","1.0","39.0"
"Auricular TWS Aló i20 Plus (x32u)","0.13248","Unidades","AO1AUR0001","6578","32.0","1.0"
"Auto eléctrico para niño 12 V naranja","0.304722","Unidades","KT1AEI0002","RAEI-0002","1.0","7.0"
"Auto eléctrico para niño 12 V rojo","0.304722","Unidades","KT1AEI0001","RAEI-0001","1.0","21.0"
"Auto eléctrico para niño 12 V verde","0.304722","Unidades","KT1AEI0003","RAEI-0003","1.0","22.0"
"Autoelevador diesel 2,5 t","1e-06","Unidades","BR1AER0001","AEDX2,5","1.0","0.0"
"Autoelevador diesel 2,5 t Barovo IS-AED2,5","6.677748","Unidades","BR1AER0003","IS-AED2,5","1.0","0.0"
"Autoelevador diésel 4 t DAEI-4540","8.109","Unidades","BR1AER0007","DAEI-4540","1.0","1.0"
"Automático flotante hasta 1 kW (x20u)","0.04536","Unidades","KU1BOB0052","AUI-1608","20.0","0.0"
"Bacha de apoyo Astro (x5u)","0.0735","Unidades","GU1BCH0003","ASTRO","5.0","0.0"
"Bacha de apoyo Inter tres agujeros (x5u)","0.08256","Unidades","GU1BCH0002","INTER 3A","5.0","0.0"
"Bacha de apoyo Signore (x5u)","0.05766","Unidades","GU1BCH0001","SIGNORE","5.0","0.0"
"Bacha de apoyo circular monocomando","0.028224","Unidades","GA1BCH0022","BBCI-BCMO","1.0","0.0"
"Bacha de apoyo cuadrada un orificio","0.024","Unidades","GA1BCH0027","BBCI-BC1B","1.0","3.0"
"Bacha de apoyo cuadrada un orificio negra","0.032336","Unidades","GA1BCH0031","BBCI-BC1N","1.0","0.0"
"Bacha de apoyo fuente oval","0.0448","Unidades","GA1BCH0028","BBFI-BFOV","1.0","12.0"
"Bacha de apoyo oval","0.04026","Unidades","GA1BCH0024","BBOI-BO01","1.0","0.0"
"Bacha de apoyo vasija oval negra","0.022848","Unidades","GA1BCH0030","BBVI-BVON","1.0","12.0"
"Bacha de vidrio templado gris oscuro","0.027437625","Unidades","GA1BCH0002","BAV02","1.0","0.0"
"Bacha de vidrio templado transparente","0.027437625","Unidades","GA1BCH0001","BAV01","1.0","0.0"
"Bacha semiesfera Arado vainilla","0.015925","Unidades","FG1BCH0018","SE35PA","1.0","0.0"
"Bajo mesada Arco 1,60 m 3 cajones Nebraska","0.101088","Unidades","RI1MBL0003","31604834","1.0","0.0"
"Balanza de cocina 5 kg libre de batería (x20u)","0.0231","Unidades","VN1BNZ0006","CELI-BCCI","20.0","41.0"
"Balanza de cocina digital 5 kg (x24u)","0.019215","Unidades","VN1BNZ0003","CELI-BAAC","24.0","0.0"
"Balanza de precisión doble plataforma 15 kg (x6u)","0.0246","Unidades","VN1BNZ0004","CELI-BADO","6.0","151.0"
"Balanza de valijas 50 kg libre de batería (x20u)","0.0176","Unidades","VN1BNZ0005","CELI-BVCI","20.0","47.0"
"Balde plástico para albañil con manija reforzada (x12u)","0.05476","Unidades","V01ADC0001","MACI-BP7L","12.0","0.0"
"Baliza giratoria led (x20u)","0.046656","Unidades","KU1BLZ0003","BAL-001","20.0","1.0"
"Baliza giratoria led recargable (x12u)","0.06897","Unidades","KU1BLZ0004","BAL-002","12.0","0.0"
"Banco camping plegable (x20u)","0.03744","Unidades","KU1BNC0002","BCP01","20.0","0.0"
"Banco plegable jardín Pro 180 cm blanco","0.0564","Unidades","KU1BNC0003","FBPI-180B","1.0","0.0"
"Banda elástica circular - pack 5 unidades (x100u)","0.044982","Unidades","VN1BDE0002","BECV","100.0","0.0"
"Banda elástica en 8 - pack de 3 tensiones (x15u)","0.02481785","Unidades","ME1BDE0001","PACKBE8","15.0","1.0"
"Bandeja 15"" para set de cajas","0.178524","Unidades","BR1CAJ0003-2","DCHS-SCH4 2/4","20.0","0.0"
"Bandeja 18"" para set de cajas","0.178524","Unidades","BR1CAJ0003-3","DCHS-SCH4 3/4","20.0","0.0"
"Bandeja 21"" para set de cajas","0.178524","Unidades","BR1CAJ0003-4","DCHS-SCH4 4/4","20.0","0.0"
"Bandeja con asas de 40 cm × 30 cm ×  4,5 cm Flora (x6u)","0.034944","Unidades","VN1BJA0003","CCN107","6.0","0.0"
"Bandeja con patas de bambú (x6u)","0.061425","Unidades","VN1BJA0002","CCN096","6.0","0.0"
"Bandeja de 34 cm × 24 cm × 1,5 cm Flora (x24u)","0.0135625","Unidades","VN1BJA0004","CCN108","24.0","2.0"
"Bandeja sanitaria gris para gato (x10u)","0.06372","Unidades","VN1BJS0006","MBSGG","10.0","0.0"
"Bandeja sanitaria marrón para gato (x10u)","0.06372","Unidades","VN1BJS0007","MBSGM","10.0","0.0"
"Bandeja sanitaria verde para gato (x10u)","0.06372","Unidades","VN1BJS0008","MBSGV","10.0","0.0"
"Banqueta acero MOR (x6u)","0.035904","Unidades","MR1BNC0001","002001","6.0","11.0"
"Banqueta alta Tolix amarillo brillante (x5u)","0.260268","Unidades","VN1SLL0040","CMII-BTAB","5.0","1.0"
"Banqueta alta Tolix blanco brillante (x5u)","0.260268","Unidades","VN1BNC0010","MIN023","5.0","0.0"
"Banqueta alta Tolix blanco mate (x5u)","0.260268","Unidades","VN1SLL0038","CMII-BTBM","5.0","0.0"
"Banqueta alta Tolix negro brillante (x5u)","0.260268","Unidades","VN1BNC0009","MIN022","5.0","0.0"
"Banqueta alta Tolix negro mate (x5u)","0.260268","Unidades","VN1SLL0037","CMII-BTNM","5.0","3.0"
"Banqueta alta Tulip blanca (x4u)","0.1248","Unidades","VN1BNC0001","MIN017","4.0","0.0"
"Banqueta alta con respaldo Tolix amarillo brillante (x5u)","0.260268","Unidades","VN1SLL0043","CMII-BRTA","5.0","0.0"
"Banqueta alta con respaldo Tolix blanco brillante (x5u)","0.260268","Unidades","VN1BNC0013","MIN026","5.0","4.0"
"Banqueta alta con respaldo Tolix gris brillante (x5u)","0.260268","Unidades","VN1SLL0042","CMII-BRTG","5.0","0.0"
"Banqueta alta con respaldo Tolix negro brillante (x5u)","0.260268","Unidades","VN1BNC0012","MIN025","5.0","1.0"
"Banqueta alta con respaldo Tolix negro mate (x5u)","0.260268","Unidades","VN1SLL0041","CMII-BRTN","5.0","32.0"
"Banqueta alta con respaldo Tolix rojo brillante (x5u)","0.260268","Unidades","VN1BNC0014","MIN027","5.0","4.0"
"Banqueta alta regulable festón café CMII-BCOC (x2u)","0.0903","Unidades","VN1BNC0042","CMII-BCOC","2.0","5.0"
"Banqueta alta regulable gamuza grafito CMII-BCUG (x2u)","0.1161","Unidades","VN1BNC0045","CMII-BCUG","2.0","7.0"
"Banqueta alta regulable gamuza marrón CMII-BCUM (x2u)","0.1161","Unidades","VN1BNC0044","CMII-BCUM","2.0","8.0"
"Banqueta alta regulable redonda negro CMII-BREN (x2u)","0.0627","Unidades","VN1BNC0041","CMII-BREN","2.0","2.0"
"Banqueta bar BABS1-B (x2u)","0.0931","Unidades","VN1BNC0021","BABS1-B","2.0","49.0"
"Banqueta bar BABS1-N (x2u)","0.09604","Unidades","VN1BNC0022","BABS1-N","2.0","30.0"
"Banqueta bar BABS1-R (x2u)","0.0931","Unidades","VN1BNC0023","BABS1-R","2.0","2.0"
"Banqueta bar BABS2-A (x2u)","0.127872","Unidades","VN1BNC0025","BABS2-A","2.0","2.0"
"Banqueta bar BABS3-B (x2u)","0.09885375","Unidades","VN1BNC0027","BABS3-B","2.0","13.0"
"Banqueta bar BABS3-N (x2u)","0.09885375","Unidades","VN1BNC0028","BABS3-N","2.0","12.0"
"Banqueta bar CBBI-001B (x2u)","0.093912","Unidades","VN1BNC0037","CBBI-001B","2.0","36.0"
"Banqueta bar CBBI-001M (x2u)","0.091728","Unidades","VN1BNC0038","CBBI-001M","2.0","26.0"
"Banqueta bar CBBI-001N (x2u)","0.117829","Unidades","VN1BNC0036","CBBI-001N","2.0","0.0"
"Banqueta bar CBBI-001P (x2u)","0.0931","Unidades","VN1BNC0035","CBBI-001P","2.0","3.0"
"Banqueta bar PVC azul (x2u)","0.061364","Unidades","VN1BNC0034","CBBI-PVC1","2.0","0.0"
"Banqueta bar PVC blanca (x2u)","0.056074","Unidades","VN1BNC0019","BPVC02","2.0","0.0"
"Banqueta bar PVC negra (x2u)","0.056074","Unidades","VN1BNC0018","BPVC01","2.0","0.0"
